Wavelength	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity
nm	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.
Wavelength	5 K	20 K	35 K	50 K	65 K	80 K	95 K	110 K	125 K	140 K	155 K	170 K	185 K	200 K	215 K	230 K	245 K	260 K	275 K	290 K
470	587042.563	503680.25	218521.563	81422.7422	67970	45621.7305	19313.2656	8566.99414	4694.65137	3272.69116	2671.79297	2260.98975	2027.38147	1959.66626	1791.40955	1836.78931	1705.06531	1614.87415	1580.99463	1548.47876
471	613462.875	514189.156	223463.375	86865.6016	72691.6719	49014.4531	20212.873	8835.21777	4901.78613	3305.17358	2661.66821	2275.32666	2113.06274	1902.52209	1815.27307	1765.00867	1686.05664	1668.3429	1545.02332	1531.37231
472	624272.688	530232.625	228034.641	90335.2188	78048.1094	52474.8047	21720.5605	9551.78418	5209.11523	3521.64697	2760.09277	2324.75488	2021.02783	1890.63538	1819.47644	1755.02527	1705.10352	1711.09595	1550.02173	1610.12427
473	650405.063	550796.938	238409.641	96264.6797	82744.75	54921.625	22586.0742	9637.97461	5007.12109	3429.41724	2796.73438	2260.00269	2111.60107	1904.41418	1811.13513	1720.59778	1623.06641	1570.55713	1570.01355	1558.7074
474	675127.563	562971	243413.422	101865.891	88093.9453	59072.5898	23753.6934	10138.2969	5585.40381	3492.72827	2682.53003	2314.59448	2153.10474	1984.30261	1758.77026	1670.00598	1602.08276	1605.68518	1466.62817	1552.27051
475	691841.938	582529.688	249784.297	107108.555	95361.8438	62924.8047	25211.8711	10442.0605	5404.43408	3591.61206	2794.69067	2370.22363	2017.57678	1955.48132	1782.92102	1612.98962	1533.31506	1497.8606	1488.62427	1411.31824
476	720991.25	603670.813	260475.594	113615.227	99793.6875	65626.4219	26363.6934	10792.3203	5590.63135	3672.16626	2803.58521	2372.24756	2036.66931	1796.87439	1669.75671	1672.12085	1463.37378	1444.85132	1447.13745	1372.43811
477	750629.563	619827.75	265419.625	120107.578	106464.43	69619.8281	27277.0313	11437.1777	5916.66895	3645.1123	2802.97583	2341.37427	2044.32629	1837.61768	1657.49536	1591.96985	1473.15833	1397.62964	1388.04382	1364.87976
478	770135.5	635517.5	271712.188	125632.078	114845.797	74412.75	29216.5879	11681.0293	6133.29639	3848.23022	2797.25537	2265.74951	1992.58301	1769.52014	1768.63049	1513.56726	1443.9137	1368.46606	1403.96924	1282.4895
479	799562.125	661978.813	282490.563	133762.891	120549.773	78061.9844	30766.6348	12340.5625	6302.13281	3765.80933	2867.02295	2324.63379	2097.31519	1713.79907	1644.19714	1552.20447	1440.51404	1368.34216	1333.10522	1258.51428
480	829730.25	674460.188	289664.438	142162.266	128638.063	82784.5547	32148.8516	13053.6914	6421.14453	3842.94604	2901.96484	2295.22705	2000.00171	1823.36877	1603.61963	1493.48242	1505.42224	1393.14722	1318.41895	1242.2439
481	845467.75	693584.063	295834.531	147783.938	137999.844	88929.3672	34166.9648	13427.4775	6776.22217	4157.34717	2909.53467	2356.14307	1981.38794	1756.50903	1595.33484	1530.12622	1372.41968	1300.12476	1337.02393	1245.55615
482	878433.063	723174.125	309025.188	157024.859	145704.609	93051.5	35563.5195	13825.3135	7282.6709	4126.00439	2969.6897	2346.22778	1854.97607	1819.44458	1538.96069	1355.65515	1387.49329	1247.6665	1271.97729	1168.33533
483	912968.938	737017.25	317264.094	167268.844	153708.297	98402.6406	37548.1641	14598.0195	7153.64795	4097.45508	3086.54785	2386.21851	2048.7417	1780.20642	1697.96387	1531.91321	1371.78113	1310.00195	1251.64868	1191.70166
484	930961.188	754520.125	323401.313	173835.75	164253.844	105068.734	39756.4453	15564.5391	7544.31738	4500.33984	3143.79175	2364.03052	2010.94788	1751.63037	1584.37439	1471.58447	1385.1521	1315.53967	1223.8009	1222.71228
485	959313.563	788262.125	336411.969	182414.25	173193.688	109299.805	41410.5742	15927.2559	7857.30762	4455.2627	3273.0481	2663.93604	2098.98267	1702.91565	1578.62683	1449.81433	1321.4762	1329.45203	1188.43286	1202.01843
486	1002053.44	801969.938	344791.031	196071	182699.219	115927.492	43323.0391	16912.541	7967.79053	4705.39502	3267.95435	2366.94653	2200.00269	1826.62439	1604.32458	1419.65967	1321.25647	1246.75647	1160.33521	1159.27954
